"Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7","Relative Intensity (%) Run #8","Angle (rad) Run #8","Relative Intensity (%) Run #9","Angle (rad) Run #9","Relative Intensity (%) Run #10","Angle (rad) Run #10"
-1.65,1.773,-7.39,0.511,-6.65,1.188,-3.01,1.062,-0.19,0.914,3.91,1.241
-1.70,1.806,-7.32,0.548,-6.71,1.214,-3.00,1.070,-0.18,0.936,3.96,1.279
-1.64,1.841,-7.35,0.583,-6.67,1.246,-2.97,1.082,-0.21,0.953,3.97,1.305
-1.64,1.879,-7.32,0.614,-6.54,1.283,-3.00,1.100,-0.16,0.966,3.98,1.330
-1.64,1.929,-7.37,0.646,-6.57,1.329,-3.01,1.120,-0.19,0.982,3.94,1.346
-1.51,1.982,-7.38,0.672,-6.55,1.360,-2.93,1.133,-0.13,0.988,3.94,1.363
-1.44,2.047,-7.34,0.693,-6.58,1.385,-2.81,1.147,-0.16,0.991,4.05,1.385
-1.31,2.089,-7.38,0.699,-6.56,1.403,-2.80,1.153,-0.20,0.993,4.04,1.404
-1.32,2.143,-7.40,0.704,-6.49,1.428,-2.80,1.167,-0.20,0.994,4.07,1.436
-1.22,2.185,-7.35,0.710,-6.41,1.458,-2.86,1.178,-0.23,0.996,4.08,1.472
-1.22,2.223,-7.34,0.715,-6.35,1.481,-2.85,1.191,-0.16,0.997,4.13,1.500
-1.12,2.267,-7.30,0.719,-6.37,1.506,-2.81,1.205,-0.22,0.999,4.13,1.513
-1.08,2.326,-7.30,0.729,-6.37,1.533,-2.83,1.225,-0.15,1.004,4.13,1.517
-0.97,2.378,-7.33,0.738,-6.32,1.557,-2.86,1.249,-0.15,1.005,4.13,1.543
-0.87,2.432,-7.31,0.748,-6.32,1.587,-2.87,1.269,-0.16,1.007,4.07,1.568
-0.90,2.476,-7.31,0.757,-6.28,1.616,-2.85,1.288,-0.21,1.012,4.07,1.599
-0.86,2.529,-7.25,0.768,-6.28,1.660,-2.82,1.318,-0.27,1.018,4.12,1.623
-0.78,2.567,-7.30,0.778,-6.31,1.689,-2.89,1.359,-0.27,1.034,4.06,1.638
-0.74,2.592,-7.28,0.793,-6.37,1.711,-2.88,1.420,-0.16,1.062,4.17,1.665
-0.70,2.619,-7.31,0.818,-6.31,1.734,-2.84,1.470,-0.17,1.101,4.08,1.690
-0.62,2.647,-7.30,0.859,-6.14,1.773,-2.83,1.486,-0.11,1.184,4.07,1.709
-0.58,2.686,-7.28,0.909,-6.15,1.810,-2.79,1.503,-0.13,1.255,4.16,1.731
-0.52,2.730,-7.25,0.946,-6.15,1.847,-2.78,1.521,-0.09,1.297,4.22,1.759
-0.54,2.780,-7.24,0.980,-6.11,1.887,-2.79,1.543,-0.06,1.321,4.17,1.808
-0.39,2.823,-7.22,1.021,-6.15,1.912,-2.85,1.555,-0.13,1.338,4.27,1.838
-0.34,2.860,-7.25,1.045,-6.11,1.929,-2.81,1.569,-0.13,1.349,4.28,1.861
-0.25,2.904,-7.29,1.068,-6.07,1.954,-2.72,1.580,-0.14,1.365,4.30,1.890
-0.18,2.925,-7.30,1.092,-6.06,1.979,-2.69,1.591,-0.08,1.390,4.29,1.926
-0.12,2.942,-7.26,1.122,-5.97,2.006,-2.68,1.605,-0.07,1.411,4.34,1.953
-0.06,2.952,-7.23,1.151,-5.98,2.025,-2.74,1.613,-0.06,1.425,4.36,1.993
0.04,2.966,-7.28,1.172,-5.94,2.044,-2.70,1.626,-0.01,1.436,4.40,2.056
0.05,2.994,-7.21,1.202,-5.88,2.061,-2.72,1.635,0.03,1.444,4.44,2.097
0.13,3.050,-7.22,1.230,-5.91,2.080,-2.72,1.660,0.01,1.451,4.49,2.130
0.20,3.127,-7.16,1.257,-5.82,2.099,-2.67,1.696,-0.08,1.462,4.51,2.163
0.39,3.231,-7.20,1.283,-5.79,2.121,-2.71,1.723,-0.09,1.477,4.51,2.199
0.46,3.297,-7.14,1.321,-5.73,2.141,-2.70,1.766,-0.05,1.497,4.52,2.232
0.59,3.365,-7.20,1.354,-5.79,2.160,-2.68,1.773,-0.03,1.522,4.57,2.251
0.86,3.435,-7.16,1.376,-5.78,2.188,-2.67,1.795,-0.02,1.569,4.62,2.257
0.99,3.484,-7.14,1.393,-5.69,2.212,-2.67,1.806,-0.01,1.616,4.73,2.281
1.19,3.541,-7.11,1.411,-5.59,2.227,-2.66,1.830,0.02,1.637,4.80,2.301
1.32,3.614,-7.14,1.445,-5.62,2.243,-2.59,1.869,-0.01,1.651,4.78,2.323
1.64,3.685,-7.14,1.462,-5.54,2.253,-2.54,1.898,0.00,1.670,4.81,2.359
1.77,3.740,-7.14,1.488,-5.48,2.259,-2.57,1.926,0.02,1.687,4.85,2.414
2.12,3.806,-7.14,1.513,-5.49,2.268,-2.56,1.982,0.05,1.720,4.92,2.447
2.32,3.870,-7.13,1.532,-5.52,2.278,-2.56,2.036,0.05,1.744,4.95,2.471
2.67,3.947,-7.07,1.547,-5.46,2.293,-2.54,2.061,0.12,1.764,5.04,2.491
2.86,4.026,-7.07,1.569,-5.43,2.311,-2.57,2.081,0.12,1.784,5.08,2.501
3.33,4.081,-7.09,1.612,-5.43,2.329,-2.54,2.094,0.14,1.792,5.13,2.510
3.59,4.125,-7.04,1.673,-5.38,2.347,-2.51,2.117,0.13,1.797,5.14,2.542
4.04,4.172,-7.01,1.723,-5.41,2.380,-2.61,2.138,0.14,1.803,5.22,2.590
4.29,4.224,-7.02,1.761,-5.35,2.424,-2.61,2.171,0.15,1.813,5.24,2.648
4.78,4.276,-6.94,1.786,-5.35,2.474,-2.52,2.193,0.19,1.827,5.38,2.708
5.02,4.309,-6.89,1.808,-5.26,2.526,-2.48,2.224,0.25,1.844,5.42,2.747
5.23,4.331,-6.92,1.844,-5.16,2.570,-2.44,2.265,0.29,1.863,5.50,2.768
5.52,4.359,-6.88,1.885,-5.10,2.619,-2.45,2.320,0.36,1.885,5.60,2.776
5.70,4.394,-6.81,1.912,-5.06,2.663,-2.38,2.359,0.40,1.924,5.60,2.780
5.99,4.431,-6.73,1.935,-5.00,2.689,-2.37,2.384,0.48,1.948,5.64,2.787
