"Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7"
5.52,1.392,6.94,1.486,7.04,1.162,6.79,2.242,6.51,2.133,6.35,1.700
5.56,1.401,6.98,1.500,7.10,1.183,6.77,2.251,6.52,2.158,6.38,1.734
5.59,1.411,6.98,1.535,7.05,1.206,6.80,2.259,6.56,2.180,6.49,1.769
5.55,1.415,6.93,1.577,7.11,1.227,6.80,2.284,6.62,2.201,6.53,1.805
5.52,1.425,6.93,1.616,7.09,1.249,6.70,2.323,6.61,2.240,6.47,1.849
5.48,1.437,6.92,1.654,7.11,1.282,6.73,2.347,6.64,2.292,6.44,1.865
5.40,1.456,6.93,1.674,7.08,1.307,6.78,2.370,6.66,2.325,6.56,1.882
5.44,1.497,7.02,1.679,7.04,1.338,6.74,2.388,6.68,2.347,6.53,1.891
5.43,1.544,7.01,1.685,7.11,1.374,6.70,2.395,6.67,2.367,6.52,1.915
5.37,1.569,7.06,1.704,7.11,1.403,6.78,2.422,6.68,2.389,6.52,1.949
5.56,1.588,7.05,1.711,7.15,1.428,6.79,2.455,6.66,2.424,6.46,2.000
5.59,1.608,7.02,1.737,7.14,1.448,6.78,2.466,6.65,2.479,6.46,2.059
5.46,1.627,7.04,1.762,7.16,1.472,6.79,2.493,6.68,2.520,6.43,2.091
5.50,1.643,7.05,1.791,7.09,1.488,6.79,2.524,6.72,2.542,6.45,2.132
5.54,1.657,7.06,1.805,7.09,1.500,6.81,2.545,6.73,2.564,6.49,2.171
5.58,1.679,6.99,1.832,7.07,1.508,6.84,2.557,6.75,2.584,6.50,2.212
5.60,1.701,7.02,1.858,7.06,1.521,6.88,2.571,6.73,2.612,6.50,2.248
5.67,1.723,7.02,1.879,7.14,1.541,6.90,2.582,6.79,2.652,6.48,2.295
5.66,1.740,7.04,1.882,7.17,1.554,6.91,2.593,6.79,2.710,6.54,2.348
5.82,1.762,7.08,1.887,7.09,1.580,6.92,2.625,6.84,2.760,6.57,2.392
5.83,1.786,7.13,1.909,7.15,1.646,6.90,2.675,6.88,2.782,6.56,2.413
5.77,1.808,7.14,1.935,7.17,1.685,6.93,2.728,6.91,2.798,6.56,2.447
