Relative Intensity (%) Run #1,Angle (rad) Run #1,Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #4,Angle (rad) Run #4,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #6,Angle (rad) Run #6
-4.24,0.426,-2.23,0.771,-1.39,0.014,-0.25,0.619,0.33,2.04,1.68,2.051
-4.26,0.44,-2.18,0.803,-1.27,0.016,-0.26,0.642,0.28,2.083,1.66,2.067
-4.25,0.467,-2.11,0.826,-1.24,0.017,-0.27,0.669,0.28,2.121,1.64,2.069
-4.25,0.493,-2.12,0.851,-1.32,0.019,-0.29,0.704,0.29,2.176,1.69,2.08
-4.22,0.507,-2.08,0.866,-1.32,0.019,-0.32,0.734,0.28,2.227,1.68,2.081
-4.23,0.518,-2.07,0.873,-1.2,0.02,-0.28,0.773,0.34,2.264,1.66,2.091
-4.17,0.528,-2,0.875,-1.2,0.024,-0.27,0.806,0.35,2.295,1.71,2.113
-4.13,0.533,-2.06,0.875,-1.24,0.025,-0.25,0.829,0.4,2.325,1.67,2.139
-4.18,0.534,-2.07,0.878,-1.23,0.031,-0.26,0.862,0.42,2.351,1.65,2.166
-4.11,0.534,-2.03,0.883,-1.23,0.041,-0.3,0.873,0.48,2.384,1.74,2.187
-4.17,0.534,-2.05,0.891,-1.24,0.052,-0.31,0.878,0.46,2.422,1.79,2.21
-4.2,0.534,-2.03,0.917,-1.23,0.069,-0.33,0.888,0.43,2.457,1.8,2.221
-4.34,0.534,-2.09,0.953,-1.22,0.08,-0.34,0.891,0.45,2.482,1.84,2.245
-4.28,0.533,-2.07,1.004,-1.22,0.086,-0.35,0.897,0.43,2.509,1.82,2.265
-4.33,0.533,-2.06,1.078,-1.24,0.093,-0.36,0.908,0.29,2.534,1.84,2.284
-4.28,0.533,-2.09,1.123,-1.27,0.096,-0.39,0.93,0.33,2.559,1.8,2.314
-4.23,0.531,-2.06,1.153,-1.28,0.097,-0.33,0.958,0.34,2.587,1.84,2.339
-4.26,0.531,-2.04,1.181,-1.23,0.097,-0.34,1.002,0.35,2.622,1.83,2.394
-4.26,0.531,-2.05,1.203,-1.27,0.097,-0.32,1.071,0.32,2.67,1.84,2.449
-4.22,0.533,-2.04,1.232,-1.24,0.097,-0.36,1.117,0.28,2.722,1.92,2.487
-4.23,0.533,-2.06,1.272,-1.2,0.096,-0.28,1.161,0.27,2.774,1.89,2.529
-4.23,0.533,-2.01,1.31,-1.19,0.094,-0.26,1.178,0.39,2.829,1.9,2.593
-4.23,0.533,-2.03,1.334,-1.19,0.091,-0.24,1.188,0.44,2.867,1.92,2.636
-4.22,0.533,-2.05,1.349,-1.18,0.077,-0.21,1.191,0.48,2.889,1.99,2.67
-4.24,0.533,-2.03,1.37,-1.2,0.069,-0.27,1.195,0.54,2.912,1.99,2.706
-4.14,0.533,-2.07,1.4,-1.27,0.06,-0.3,1.203,0.52,2.937,1.95,2.727
-4.11,0.533,-2.07,1.436,-1.15,0.053,-0.26,1.208,0.55,2.972,1.94,2.746
-4.1,0.533,-2.02,1.48,-1.18,0.05,-0.3,1.216,0.56,3.01,2.05,2.765
-4.14,0.533,-2.03,1.511,-1.2,0.042,-0.2,1.222,0.55,3.066,2,2.774
-4.11,0.534,-2.13,1.528,-1.26,0.036,-0.25,1.23,0.66,3.124,1.96,2.793
-4.06,0.534,-2.07,1.541,-1.19,0.033,-0.29,1.238,0.67,3.171,1.97,2.829
-4.09,0.534,-2.1,1.557,-1.31,0.031,-0.25,1.253,0.6,3.209,2,2.859
-4.09,0.536,-2.15,1.577,-1.34,0.031,-0.23,1.279,0.59,3.252,1.97,2.887
