Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #7,Angle (rad) Run #7,Relative Intensity (%) Run #9,Angle (rad) Run #9
2.09,3.426,1.94,2.941,3.31,3.533,4.47,2.168,5.46,2.538
2.12,3.465,1.96,2.98,3.34,3.588,4.48,2.187,5.47,2.554
2.16,3.526,1.93,3.057,3.37,3.635,4.56,2.205,5.56,2.567
2.31,3.592,2.02,3.127,3.34,3.66,4.6,2.226,5.56,2.579
2.31,3.644,2.03,3.192,3.35,3.685,4.55,2.248,5.57,2.584
2.38,3.696,2.1,3.247,3.29,3.707,4.6,2.254,5.54,2.595
2.38,3.724,2.1,3.289,3.43,3.729,4.58,2.278,5.53,2.603
2.52,3.762,2.15,3.332,3.47,3.735,4.51,2.311,5.55,2.608
2.56,3.845,2.17,3.379,3.45,3.742,4.52,2.347,5.49,2.62
2.62,3.933,2.21,3.413,3.47,3.748,4.56,2.369,5.49,2.653
2.71,3.996,2.22,3.456,3.51,3.776,4.57,2.381,5.5,2.695
2.75,4.032,2.26,3.5,3.47,3.793,4.62,2.4,5.53,2.749
2.87,4.067,2.33,3.553,3.44,3.797,4.6,2.443,5.51,2.79
2.95,4.115,2.37,3.599,3.51,3.804,4.59,2.479,5.5,2.809
3.04,4.181,2.41,3.624,3.45,3.845,4.61,2.515,5.47,2.829
3.14,4.252,2.4,3.64,3.53,3.921,4.57,2.542,5.57,2.859
3.33,4.291,2.46,3.654,3.61,3.984,4.59,2.548,5.51,2.882
3.48,4.375,2.49,3.677,3.7,4.009,4.6,2.554,5.47,2.901
3.67,4.453,2.52,3.712,3.74,4.02,4.56,2.557,5.52,2.919
3.8,4.525,2.57,3.76,3.75,4.04,4.56,2.562,5.59,2.928
4.06,4.604,2.62,3.804,3.74,4.054,4.54,2.57,5.55,2.933
4.24,4.675,2.66,3.861,3.79,4.064,4.56,2.575,5.58,2.945
4.64,4.72,2.78,3.944,3.82,4.079,4.61,2.576,5.55,2.955
4.79,4.789,2.86,4.002,3.93,4.101,4.58,2.581,5.48,2.969
5.27,4.877,3.07,4.051,3.92,4.119,4.68,2.587,5.42,2.985
5.49,4.95,3.03,4.1,4.02,4.139,4.55,2.595,5.51,3
5.71,5,3.09,4.148,4.04,4.152,4.59,2.601,5.49,3.019
6.06,5.031,3.25,4.197,4.01,4.167,4.64,2.608,5.46,3.05
6.22,5.058,3.28,4.238,4.06,4.185,4.64,2.612,5.47,3.087
6.54,5.082,3.39,4.269,4.09,4.207,4.71,2.625,5.47,3.115
6.68,5.116,3.49,4.296,4.16,4.218,4.76,2.659,5.48,3.129
6.98,5.171,3.64,4.335,4.13,4.263,4.75,2.689,5.49,3.146
7.2,5.217,3.68,4.372,4.2,4.31,4.81,2.717,5.47,3.17
